gender,family_role,age,marital_status,time_away,live_with_mother,mother_education,mother_alive,mother_death_age,mother_current_age,live_with_father,father_education,father_alive,father_death_age,father_current_age,read,write,education,preschool,enrollment_grouping,last_schoolyear_age,under_19,POVERTY
1,1,44,1,0,2,2,1,0,66,2,3,1,0,63,1,1,2,1,1,14,2,4
2,2,48,1,0,2,1,1,0,67,2,1,1,0,75,1,1,2,0,1,14,2,1
1,1,61,1,0,2,1,2,86,0,2,1,2,74,0,1,1,2,0,1,14,2,3
1,1,66,1,0,2,2,2,81,0,2,2,2,77,0,1,1,2,0,1,14,2,5
2,1,72,5,0,2,1,2,80,0,2,1,2,72,0,1,1,1,0,2,20,2,4
2,2,55,1,0,2,3,1,0,71,2,2,1,0,77,1,1,2,1,1,14,2,3
1,1,52,1,0,2,3,1,0,76,2,3,2,77,0,1,1,3,0,1,18,2,5
1,1,59,1,0,2,1,2,65,0,2,1,2,80,0,1,1,3,0,2,18,2,2
1,1,46,1,0,2,1,1,0,83,2,1,1,0,85,1,1,3,0,1,18,2,4
2,2,49,1,0,2,1,1,0,71,2,1,1,0,78,1,1,2,0,2,14,2,5
1,1,44,1,0,2,10,1,0,72,2,10,1,0,88,1,1,2,0,2,15,2,6
2,2,38,1,0,2,3,1,0,54,2,4,2,55,0,1,1,2,3,2,14,2,3
1,1,59,1,0,2,1,1,0,93,2,1,2,84,0,1,1,1,1,1,10,2,5
2,2,57,1,0,2,3,1,0,70,2,3,2,64,0,1,1,9,0,1,24,2,7
2,2,45,1,0,2,3,1,0,63,2,3,2,70,0,1,1,6,3,1,18,2,4
2,1,59,5,0,2,1,2,45,0,2,1,2,47,0,1,1,2,0,2,14,2,3
1,1,47,1,2,1,2,1,0,73,1,2,1,0,77,1,1,2,0,2,14,2,2
1,1,66,1,0,2,1,2,77,0,2,1,2,79,0,1,1,3,0,1,18,2,6
1,1,76,1,0,2,2,2,77,0,2,2,2,70,0,1,1,1,1,1,10,2,4
1,1,53,1,0,2,1,1,0,82,2,1,2,60,0,1,1,2,1,1,14,2,5
2,4,34,1,0,1,2,1,0,79,2,7,2,72,0,1,1,6,3,2,18,2,2
1,1,54,1,0,2,2,2,58,0,2,2,2,69,0,1,1,3,0,1,18,2,1
