psu_hh_idcode,subjective_poverty_1,subjective_poverty_2,subjective_poverty_3,subjective_poverty_4,subjective_poverty_5,subjective_poverty_6,subjective_poverty_7,subjective_poverty_8,subjective_poverty_9,subjective_poverty_10
93_6_1,0.08,0.08,0.36,0.16,0.2,0.08,0.04,0.0,0.0,0.0
15_11_2,0.12,0.08,0.36,0.16,0.2,0.08,0.0,0.0,0.0,0.0
448_3_1,0.12,0.12,0.32,0.16,0.2,0.08,0.0,0.0,0.0,0.0
97_3_1,0.12,0.12,0.32,0.16,0.2,0.08,0.0,0.0,0.0,0.0
90_5_1,0.12,0.12,0.28,0.2,0.2,0.08,0.0,0.0,0.0,0.0
100_2_1,0.16,0.12,0.28,0.2,0.16,0.08,0.0,0.0,0.0,0.0
468_3_1,0.28,0.12,0.16,0.2,0.16,0.08,0.0,0.0,0.0,0.0
104_7_1,0.24,0.12,0.12,0.2,0.2,0.12,0.0,0.0,0.0,0.0
143_6_1,0.24,0.16,0.12,0.2,0.16,0.12,0.0,0.0,0.0,0.0
96_1_1,0.24,0.16,0.12,0.16,0.2,0.12,0.0,0.0,0.0,0.0
233_3_1,0.12,0.2,0.04,0.32,0.2,0.08,0.04,0.0,0.0,0.0
145_4_1,0.12,0.2,0.12,0.24,0.2,0.08,0.04,0.0,0.0,0.0
410_2_1,0.08,0.24,0.16,0.24,0.2,0.04,0.04,0.0,0.0,0.0
651_6_1,0.08,0.24,0.16,0.24,0.2,0.04,0.04,0.0,0.0,0.0
653_8_1,0.08,0.2,0.12,0.2,0.2,0.16,0.04,0.0,0.0,0.0
310_3_1,0.12,0.24,0.2,0.04,0.16,0.16,0.08,0.0,0.0,0.0
141_1_1,0.12,0.2,0.08,0.16,0.12,0.2,0.12,0.0,0.0,0.0
329_4_1,0.12,0.2,0.08,0.16,0.12,0.2,0.12,0.0,0.0,0.0
144_11_1,0.08,0.2,0.08,0.16,0.2,0.16,0.12,0.0,0.0,0.0
725_1_1,0.08,0.16,0.12,0.2,0.2,0.12,0.12,0.0,0.0,0.0
387_6_1,0.04,0.16,0.12,0.32,0.2,0.12,0.04,0.0,0.0,0.0
417_4_1,0.04,0.2,0.12,0.28,0.24,0.08,0.04,0.0,0.0,0.0
526_4_1,0.04,0.16,0.12,0.32,0.2,0.16,0.0,0.0,0.0,0.0
318_3_1,0.04,0.12,0.12,0.36,0.24,0.12,0.0,0.0,0.0,0.0
