literate,attended_school,highest_school_lvl,preschool,finish_school_age,school_transportation_time,school_transportation_cost,school_expenses,is_student,not_attend_reason1_2.0,not_attend_reason1_3.0,not_attend_reason1_4.0,not_attend_reason1_5.0,not_attend_reason1_7.0,not_attend_reason1_8.0,not_attend_reason1_10.0,not_attend_reason1_11.0,not_attend_reason1_12.0,not_attend_reason1_13.0,not_attend_reason1_14.0,not_attend_reason2_2.0,not_attend_reason2_3.0,not_attend_reason2_4.0,not_attend_reason2_5.0,not_attend_reason2_7.0,not_attend_reason2_8.0,not_attend_reason2_10.0,not_attend_reason2_11.0,not_attend_reason2_12.0,not_attend_reason2_13.0,not_attend_reason2_14.0,school_type_2,school_type_3,transport_2,transport_3,transport_4,fam_role_2,fam_role_3,fam_role_4,fam_role_5,fam_role_6,fam_role_7,fam_role_8,fam_role_9,fam_role_10,fam_role_11,fam_role_12,fam_role_13,fam_role_14,marital_status_2,marital_status_3,marital_status_4,marital_status_5,sex,age,time_away,lives_with_partner,lives_with_parent,parents_education,num_parents_alive
True,1,2.0,0.0,16.04,40.0,0.0,140000.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,19,0,False,True,2.19,0
True,1,2.0,0.0,16.04,15.0,0.0,75000.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,19,0,False,True,2.19,0
True,1,2.0,0.0,16.04,6.0,0.0,100000.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,19,0,False,False,3.0,2
True,1,5.0,2.0,16.04,20.0,0.0,730000.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,20,0,False,True,2.19,0
True,1,2.0,0.0,16.04,30.0,0.0,170000.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,20,0,False,True,2.19,0
True,1,5.0,3.0,16.04,15.0,0.0,5115000.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20,0,False,True,2.19,0
True,1,2.0,1.0,16.04,12.0,0.0,118000.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20,0,False,True,2.19,0
True,1,5.0,0.0,16.04,5.0,0.0,675000.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20,8,False,False,3.0,2
True,1,5.0,2.0,16.04,4.0,0.0,360000.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20,0,False,True,2.19,0
True,1,5.0,3.0,16.04,20.0,0.0,290000.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20,0,False,True,2.19,0
