psu,hh,idcode,Self_id,gender,family_role_group,age,age_group,marital_status,family_size_group,kids_group,structure_group,time_away,away_group,live_with_mother,mother_education,mother_education_group,mother_alive,mother_death_age,mother_current_age,live_with_father,father_education,father_education_group,father_alive,father_death_age,father_current_age,read,write,read_write,education,education_group,preschool,preschool_group,enrollment_grouping,last_schoolyear_age,under_19,subjective_poverty_1,subjective_poverty_2,subjective_poverty_3,subjective_poverty_4,subjective_poverty_5,subjective_poverty_6,subjective_poverty_7,subjective_poverty_8,subjective_poverty_9,subjective_poverty_10,Self_Rank
30,8,1,30_8_1,1,1,44,5,1,4,2,3,0,1,2,2,2,1,0,66,2,3,2,1,0,63,1,1,1,2,1,1,2,1,14,2,0,0,0,1,0,0,0,0,0,0,4
194,1,2,194_1_2,2,2,48,5,1,4,2,2,0,1,2,1,1,1,0,67,2,1,1,1,0,75,1,1,1,2,1,0,1,1,14,2,1,0,0,0,0,0,0,0,0,0,1
224,6,1,224_6_1,1,1,61,7,1,4,2,2,0,1,2,1,1,2,86,0,2,1,1,2,74,0,1,1,1,2,1,0,1,1,14,2,0,0,1,0,0,0,0,0,0,0,3
323,10,1,323_10_1,1,1,66,7,1,2,1,1,0,1,2,2,2,2,81,0,2,2,2,2,77,0,1,1,1,2,1,0,1,1,14,2,0,0,0,0,1,0,0,0,0,0,5
428,10,1,428_10_1,2,1,72,7,5,3,1,3,0,1,2,1,1,2,80,0,2,1,1,2,72,0,1,1,1,1,1,0,1,2,20,2,0,0,0,1,0,0,0,0,0,0,4
809,6,2,809_6_2,2,2,55,6,1,4,1,1,0,1,2,3,2,1,0,71,2,2,2,1,0,77,1,1,1,2,1,1,2,1,14,2,0,0,1,0,0,0,0,0,0,0,3
138,2,1,138_2_1,1,1,52,6,1,3,2,3,0,1,2,3,2,1,0,76,2,3,2,2,77,0,1,1,1,3,2,0,1,1,18,2,0,0,0,0,1,0,0,0,0,0,5
329,1,1,329_1_1,1,1,59,6,1,2,1,1,0,1,2,1,1,2,65,0,2,1,1,2,80,0,1,1,1,3,2,0,1,2,18,2,0,1,0,0,0,0,0,0,0,0,2
409,8,1,409_8_1,1,1,46,5,1,6,4,4,0,1,2,1,1,1,0,83,2,1,1,1,0,85,1,1,1,3,2,0,1,1,18,2,0,0,0,1,0,0,0,0,0,0,4
186,4,2,186_4_2,2,2,49,5,1,6,3,4,0,1,2,1,1,1,0,71,2,1,1,1,0,78,1,1,1,2,1,0,1,2,14,2,0,0,0,0,1,0,0,0,0,0,5
688,5,1,688_5_1,1,1,44,5,1,5,3,4,0,1,2,10,4,1,0,72,2,10,4,1,0,88,1,1,1,2,1,0,1,2,15,2,0,0,0,0,0,1,0,0,0,0,6
364,6,2,364_6_2,2,2,38,4,1,4,2,3,0,1,2,3,2,1,0,54,2,4,2,2,55,0,1,1,1,2,1,3,2,2,14,2,0,0,1,0,0,0,0,0,0,0,3
528,8,1,528_8_1,1,1,59,6,1,6,2,3,0,1,2,1,1,1,0,93,2,1,1,2,84,0,1,1,1,1,1,1,2,1,10,2,0,0,0,0,1,0,0,0,0,0,5
758,4,2,758_4_2,2,2,57,6,1,4,1,1,0,1,2,3,2,1,0,70,2,3,2,2,64,0,1,1,1,9,4,0,1,1,24,2,0,0,0,0,0,0,1,0,0,0,7
647,5,2,647_5_2,2,2,45,5,1,5,3,4,0,1,2,3,2,1,0,63,2,3,2,2,70,0,1,1,1,6,3,3,2,1,18,2,0,0,0,1,0,0,0,0,0,0,4
176,7,1,176_7_1,2,1,59,6,5,3,1,1,0,1,2,1,1,2,45,0,2,1,1,2,47,0,1,1,1,2,1,0,1,2,14,2,0,0,1,0,0,0,0,0,0,0,3
328,8,1,328_8_1,1,1,47,5,1,6,2,4,2,2,1,2,2,1,0,73,1,2,2,1,0,77,1,1,1,2,1,0,1,2,14,2,0,1,0,0,0,0,0,0,0,0,2
512,8,1,512_8_1,1,1,66,7,1,4,2,2,0,1,2,1,1,2,77,0,2,1,1,2,79,0,1,1,1,3,2,0,1,1,18,2,0,0,0,0,0,1,0,0,0,0,6
431,4,1,431_4_1,1,1,76,8,1,2,1,5,0,1,2,2,2,2,77,0,2,2,2,2,70,0,1,1,1,1,1,1,2,1,10,2,0,0,0,1,0,0,0,0,0,0,4
31,8,1,31_8_1,1,1,53,6,1,3,2,3,0,1,2,1,1,1,0,82,2,1,1,2,60,0,1,1,1,2,1,1,2,1,14,2,0,0,0,0,1,0,0,0,0,0,5
174,2,3,174_2_3,2,3,34,3,1,5,2,4,0,1,1,2,2,1,0,79,2,7,4,2,72,0,1,1,1,6,3,3,2,2,18,2,0,1,0,0,0,0,0,0,0,0,2
581,7,1,581_7_1,1,1,54,6,1,3,1,1,0,1,2,2,2,2,58,0,2,2,2,2,69,0,1,1,1,3,2,0,1,1,18,2,1,0,0,0,0,0,0,0,0,0,1
60,1,1,60_1_1,1,1,41,5,1,6,3,4,0,1,1,1,1,1,0,63,1,3,2,1,0,72,1,1,1,9,4,0,1,1,22,2,0,1,0,0,0,0,0,0,0,0,2
580,9,1,580_9_1,1,1,65,7,1,5,2,2,0,1,2,1,1,2,79,0,2,1,1,2,78,0,1,1,1,2,1,0,1,2,14,2,1,0,0,0,0,0,0,0,0,0,1
742,8,1,742_8_1,1,1,47,5,1,3,1,1,0,1,2,1,1,1,0,60,2,1,1,2,55,0,1,1,1,4,2,3,2,1,16,2,0,0,0,1,0,0,0,0,0,0,4
427,7,1,427_7_1,1,1,75,7,1,2,1,3,0,1,2,1,1,2,81,0,2,1,1,2,65,0,2,2,2,1,1,0,1,2,10,2,0,0,0,0,1,0,0,0,0,0,5
589,5,1,589_5_1,1,1,52,6,1,4,2,3,0,1,2,1,1,2,70,0,2,2,2,1,0,75,1,1,1,3,2,0,1,2,18,2,0,1,0,0,0,0,0,0,0,0,2
376,4,2,376_4_2,2,2,37,4,1,4,2,3,0,1,2,3,2,1,0,56,2,5,3,1,0,69,1,1,1,7,4,0,1,1,21,2,0,0,0,0,1,0,0,0,0,0,5
