read,write,attended_school,highest_diploma,preschool,lives_with_partner,lives_with_mother,mother_education,mother_alive,lives_with_father,father_education,father_alive,age,male,not_enrolled_for_economic_reasons,marital_status_1,marital_status_2,marital_status_3,marital_status_4,marital_status_5,family_role_1,family_role_2,family_role_3,family_role_4,family_role_6,family_role_7,family_role_8,family_role_9,family_role_10
True,True,True,3,0,False,False,11,False,False,11,False,19,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
True,True,True,2,0,False,False,11,False,True,3,False,19,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
True,True,True,3,0,False,True,3,True,True,3,True,19,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
True,True,True,3,2,False,False,11,False,True,3,False,20,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
True,True,True,3,0,False,False,11,False,False,11,False,20,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
True,True,True,3,3,False,False,11,False,False,11,False,20,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
True,True,True,2,1,False,False,11,False,False,11,False,20,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
True,True,True,3,0,False,True,3,True,True,3,True,20,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
True,True,True,3,2,False,False,11,False,False,11,False,20,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
True,True,True,3,3,False,False,11,False,False,11,False,20,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
True,True,True,3,3,False,False,11,False,False,11,False,20,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
True,True,True,3,2,False,True,5,True,True,5,True,20,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
True,True,True,3,3,False,True,3,True,True,3,True,20,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
True,True,True,3,3,False,False,11,False,False,11,False,20,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
True,True,True,3,0,False,False,11,False,False,11,False,20,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
True,True,True,3,2,False,False,11,False,False,11,False,20,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
True,True,True,3,0,False,False,11,False,True,1,False,20,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
True,True,True,3,2,False,True,9,False,False,11,False,21,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
True,True,True,3,2,False,False,11,False,False,11,False,21,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
True,True,True,3,2,False,False,11,False,False,11,False,21,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
True,True,True,3,0,False,False,11,False,False,11,False,21,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
True,True,True,3,3,False,False,11,False,False,11,False,21,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
