uid,highest_school_lvl,preschool,school_transportation_time,school_transportation_cost,school_expenses,not_attend_reason,school_type_1.0,school_type_3.0,transport_2.0,transport_4.0,transport_5.0,sex,age,time_away,lives_with_partner,lives_with_parent,parents_education,num_parents_alive
441_2_3,2,0.0,40.0,0.0,140000.0,0,True,False,False,False,False,1,19,0,False,True,2.145104895104895,0
647_7_1,2,0.0,15.0,0.0,75000.0,0,True,False,False,False,False,1,19,0,False,True,2.145104895104895,0
756_4_1,2,0.0,6.0,0.0,100000.0,0,True,False,False,False,False,2,19,0,False,False,3.0,2
25_4_3,5,2.0,20.0,0.0,730000.0,0,False,True,False,False,False,1,20,0,False,True,2.145104895104895,0
132_6_3,2,0.0,30.0,0.0,170000.0,0,True,False,True,False,False,1,20,0,False,True,2.145104895104895,0
167_7_3,5,3.0,15.0,0.0,5115000.0,0,False,True,False,False,False,2,20,0,False,True,2.145104895104895,0
382_2_3,2,1.0,12.0,0.0,118000.0,0,True,False,False,False,False,2,20,0,False,True,2.145104895104895,0
645_2_1,5,0.0,5.0,0.0,675000.0,0,True,False,False,False,False,2,20,8,False,False,3.0,2
645_5_3,5,2.0,4.0,0.0,360000.0,0,True,False,False,False,False,2,20,0,False,True,2.145104895104895,0
646_6_3,5,3.0,20.0,0.0,290000.0,0,True,False,False,False,False,2,20,0,False,True,2.145104895104895,0
670_5_3,5,3.0,105.0,60000.0,2660000.0,0,True,False,False,False,True,2,20,0,False,True,2.145104895104895,0
672_8_2,5,2.0,30.0,12000.0,1150000.0,0,True,False,False,False,True,2,20,0,False,False,5.0,2
674_7_6,2,3.0,15.0,0.0,110000.0,0,True,False,False,False,False,2,20,0,False,False,3.0,2
694_4_3,5,3.0,30.0,15000.0,204000.0,0,True,False,False,False,True,1,20,0,False,True,2.145104895104895,0
702_11_3,5,0.0,75.0,0.0,100000.0,0,True,False,False,False,False,2,20,0,False,True,2.145104895104895,0
743_12_3,5,2.0,20.0,0.0,710000.0,0,True,False,False,False,False,1,20,0,False,True,2.145104895104895,0
171_1_4,5,2.0,20.0,0.0,270000.0,0,True,False,False,False,False,2,21,0,False,True,2.145104895104895,0
586_9_3,5,2.0,30.0,20000.0,300000.0,0,True,False,False,False,True,2,21,0,False,True,2.145104895104895,0
634_6_4,5,2.0,10.0,0.0,200000.0,0,True,False,False,False,False,1,21,0,False,True,2.145104895104895,0
687_2_4,5,0.0,45.0,30000.0,550000.0,0,False,True,False,False,True,2,21,0,False,True,2.145104895104895,0
761_9_4,5,3.0,40.0,100000.0,270000.0,0,True,False,False,False,True,2,21,0,False,True,2.145104895104895,0
169_7_4,5,3.0,10.0,0.0,800000.0,0,True,False,False,False,False,1,22,0,False,True,2.145104895104895,0
403_3_3,5,0.0,60.0,100000.0,200000.0,0,True,False,False,False,True,1,22,0,False,True,2.145104895104895,0
172_4_1,5,2.0,15.0,0.0,2600000.0,0,True,False,False,False,False,1,23,6,False,False,5.0,2
464_7_3,5,1.0,20.0,20000.0,350000.0,0,True,False,False,False,True,2,23,0,False,True,2.145104895104895,0
708_1_1,6,0.0,45.0,0.0,2500000.0,0,True,False,False,False,False,2,23,0,False,False,5.0,2
144_5_2,6,2.0,15.0,60000.0,1000000.0,0,True,False,False,False,True,2,24,0,True,False,4.5,2
