uid,literate,attended_school,highest_school_lvl,preschool,now_enrolled,now_attending,past_enrolled,past_attending,now_not_attend_reason,now_not_enroll_reason,past_not_attend_reason,past_not_enroll_reason,finish_school_age,younger_19,public_private_school,school_transportation_time,school_transportation_vehicle,school_transportation_cost,school_expenses,poverty_score
441_2_3,True,1,2.0,0.0,1.0,1.0,1.0,1.0,,,,,,,1.0,40.0,1.0,,140000.0,4.0
647_7_1,True,1,2.0,0.0,1.0,1.0,1.0,1.0,,,,,,,1.0,15.0,1.0,,75000.0,4.0
756_4_1,True,1,2.0,0.0,1.0,1.0,1.0,1.0,,,,,,,1.0,6.0,1.0,,100000.0,6.0
25_4_3,True,1,6.0,2.0,1.0,1.0,1.0,1.0,,,,,,,3.0,20.0,1.0,,730000.0,4.0
132_6_3,True,1,2.0,0.0,1.0,1.0,1.0,1.0,,,,,,,1.0,30.0,2.0,,170000.0,3.0
167_7_3,True,1,6.0,3.0,1.0,1.0,1.0,1.0,,,,,,,3.0,15.0,1.0,,5115000.0,6.0
382_2_3,True,1,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,12.0,1.0,,118000.0,4.0
645_2_1,True,1,6.0,0.0,1.0,1.0,1.0,1.0,,,,,,,1.0,5.0,1.0,,675000.0,7.0
645_5_3,True,1,6.0,2.0,1.0,1.0,1.0,1.0,,,,,,,1.0,4.0,1.0,,360000.0,7.0
646_6_3,True,1,6.0,3.0,1.0,1.0,1.0,1.0,,,,,,,1.0,20.0,1.0,,290000.0,3.0
670_5_3,True,1,6.0,3.0,1.0,1.0,1.0,1.0,,,,,,,1.0,105.0,5.0,60000.0,2660000.0,3.0
672_8_2,True,1,6.0,2.0,1.0,1.0,1.0,1.0,,,,,,,1.0,30.0,5.0,12000.0,1150000.0,3.0
674_7_6,True,1,2.0,3.0,1.0,1.0,1.0,1.0,,,,,,,1.0,15.0,1.0,,110000.0,3.0
694_4_3,True,1,6.0,3.0,1.0,1.0,1.0,1.0,,,,,,,1.0,30.0,5.0,15000.0,204000.0,7.0
702_11_3,True,1,6.0,0.0,1.0,1.0,1.0,1.0,,,,,,,1.0,75.0,1.0,,100000.0,6.0
743_12_3,True,1,6.0,2.0,1.0,1.0,1.0,1.0,,,,,,,1.0,20.0,1.0,,710000.0,2.0
171_1_4,True,1,6.0,2.0,1.0,1.0,1.0,1.0,,,,,,,1.0,20.0,1.0,,270000.0,7.0
586_9_3,True,1,6.0,2.0,1.0,1.0,1.0,1.0,,,,,,,1.0,30.0,5.0,20000.0,300000.0,6.0
634_6_4,True,1,6.0,2.0,1.0,1.0,1.0,1.0,,,,,,,1.0,10.0,1.0,,200000.0,5.0
687_2_4,True,1,6.0,0.0,1.0,1.0,1.0,1.0,,,,,,,3.0,45.0,5.0,30000.0,550000.0,6.0
761_9_4,True,1,6.0,3.0,1.0,1.0,1.0,1.0,,,,,,,1.0,40.0,5.0,100000.0,270000.0,5.0
169_7_4,True,1,6.0,3.0,1.0,1.0,1.0,1.0,,,,,,,1.0,10.0,1.0,,800000.0,7.0
403_3_3,True,1,6.0,0.0,1.0,1.0,1.0,1.0,,,,,,,1.0,60.0,5.0,100000.0,200000.0,6.0
172_4_1,True,1,6.0,2.0,1.0,1.0,1.0,1.0,,,,,,,1.0,15.0,1.0,,2600000.0,6.0
464_7_3,True,1,6.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,20.0,5.0,20000.0,350000.0,6.0
708_1_1,True,1,8.0,0.0,1.0,1.0,1.0,1.0,,,,,,,1.0,45.0,1.0,,2500000.0,1.0
144_5_2,True,1,8.0,2.0,1.0,1.0,1.0,1.0,,,,,,,1.0,15.0,5.0,60000.0,1000000.0,7.0
302_4_1,True,1,6.0,3.0,1.0,1.0,1.0,1.0,,,,,,,1.0,10.0,1.0,,0.0,4.0
613_4_1,True,1,6.0,3.0,1.0,1.0,1.0,1.0,,,,,,,1.0,30.0,5.0,50000.0,230000.0,3.0
783_3_1,True,1,8.0,0.0,1.0,1.0,1.0,1.0,,,,,,,1.0,30.0,5.0,24000.0,1967000.0,7.0
695_3_1,True,1,6.0,2.0,1.0,1.0,1.0,1.0,,,,,,,3.0,40.0,5.0,200000.0,3300000.0,4.0
