uid,poverty_score,sex,family_role,age,marital_status,spouse_lives,time_away,lives_with_mom,moms_education,mom_alive,lives_with_dad,dad_education,dad_alive
1_5_1,6.0,1,1,54,1.0,1.0,0,2,5.0,2.0,2,3.0,2.0
2_4_1,7.0,1,1,36,1.0,1.0,0,2,3.0,1.0,2,3.0,1.0
2_5_1,2.0,1,1,54,1.0,1.0,0,2,3.0,2.0,2,2.0,2.0
2_6_1,4.0,1,1,71,1.0,1.0,0,2,10.0,2.0,2,10.0,2.0
2_7_1,4.0,1,1,66,1.0,1.0,0,2,1.0,2.0,2,2.0,2.0
2_9_1,2.0,1,1,55,1.0,1.0,0,2,2.0,2.0,2,2.0,2.0
3_3_1,4.0,1,1,45,5.0,,0,1,,,2,10.0,2.0
3_4_1,6.0,2,1,68,4.0,,0,2,2.0,2.0,2,2.0,2.0
3_5_1,4.0,1,1,54,1.0,1.0,0,2,2.0,2.0,2,6.0,2.0
3_7_2,5.0,2,1,32,1.0,1.0,0,2,4.0,2.0,2,4.0,2.0
3_8_1,5.0,1,1,51,1.0,1.0,0,2,1.0,1.0,2,3.0,2.0
3_9_1,3.0,1,1,70,1.0,1.0,0,2,2.0,2.0,2,2.0,2.0
4_1_1,5.0,1,1,54,1.0,1.0,0,2,10.0,2.0,2,10.0,2.0
4_6_1,3.0,2,1,90,4.0,,0,2,10.0,2.0,2,10.0,2.0
4_7_1,6.0,1,1,75,1.0,1.0,0,2,2.0,2.0,2,2.0,2.0
5_7_1,4.0,1,1,52,1.0,1.0,0,2,10.0,2.0,2,10.0,2.0
5_8_1,2.0,1,1,55,5.0,,0,2,10.0,2.0,2,2.0,2.0
5_9_1,4.0,2,1,60,4.0,,0,2,10.0,2.0,2,10.0,2.0
7_4_1,4.0,1,1,42,1.0,1.0,0,2,2.0,2.0,2,5.0,1.0
12_1_1,3.0,2,1,58,4.0,,0,2,1.0,1.0,2,1.0,2.0
12_2_2,7.0,2,2,64,1.0,1.0,0,2,1.0,2.0,2,1.0,2.0
12_3_1,2.0,1,1,30,1.0,1.0,0,2,3.0,2.0,2,2.0,2.0
12_4_3,3.0,1,4,27,1.0,1.0,0,1,,,1,,
12_5_2,3.0,2,2,67,1.0,1.0,0,2,1.0,2.0,2,1.0,2.0
12_6_1,5.0,1,1,49,4.0,,0,2,1.0,2.0,1,,
12_8_2,4.0,2,2,57,1.0,1.0,0,2,3.0,2.0,2,3.0,2.0
13_2_1,8.0,1,1,56,1.0,1.0,0,2,1.0,2.0,2,1.0,2.0
13_6_1,4.0,2,1,42,4.0,,0,2,3.0,2.0,2,2.0,1.0
14_2_1,3.0,1,1,50,1.0,1.0,0,2,1.0,2.0,2,2.0,2.0
14_5_2,4.0,2,2,44,1.0,1.0,0,2,3.0,2.0,2,3.0,2.0
14_6_1,7.0,1,1,72,1.0,1.0,0,2,1.0,2.0,2,1.0,2.0
14_8_1,5.0,1,1,40,1.0,1.0,0,2,2.0,2.0,2,2.0,2.0
14_9_1,5.0,1,1,36,1.0,1.0,0,2,5.0,1.0,2,5.0,2.0
16_1_1,4.0,2,1,76,4.0,,0,2,1.0,2.0,2,1.0,2.0
16_5_1,2.0,1,1,48,2.0,2.0,0,1,,,2,2.0,2.0
25_4_3,4.0,1,4,20,5.0,,0,1,,,2,3.0,2.0
33_4_1,3.0,2,1,42,4.0,,0,2,3.0,1.0,2,3.0,1.0
34_2_2,5.0,2,2,48,1.0,1.0,0,2,1.0,2.0,2,1.0,2.0
34_4_1,3.0,1,1,58,1.0,1.0,0,2,1.0,2.0,2,1.0,2.0
40_1_1,2.0,1,1,60,1.0,1.0,0,2,1.0,2.0,2,1.0,2.0
42_3_1,3.0,1,1,59,1.0,1.0,0,2,1.0,2.0,2,1.0,2.0
42_5_1,3.0,1,1,55,1.0,1.0,0,2,2.0,1.0,2,2.0,1.0
42_8_1,3.0,1,1,45,1.0,1.0,0,2,2.0,2.0,2,2.0,2.0
44_6_1,4.0,1,1,40,1.0,1.0,0,2,3.0,1.0,2,3.0,1.0
44_8_1,1.0,1,1,59,1.0,1.0,0,2,2.0,2.0,2,2.0,2.0
44_10_1,2.0,1,1,35,1.0,1.0,0,2,3.0,1.0,2,3.0,1.0
44_11_1,2.0,1,1,73,1.0,1.0,0,2,1.0,2.0,2,2.0,2.0
44_12_1,4.0,1,1,33,1.0,1.0,0,2,3.0,1.0,2,3.0,1.0
45_1_1,3.0,1,1,57,1.0,1.0,0,2,2.0,2.0,2,2.0,2.0
45_4_1,4.0,1,1,39,1.0,1.0,0,1,,,2,2.0,2.0
45_5_1,2.0,2,1,46,4.0,,0,2,2.0,2.0,2,2.0,2.0
45_7_1,4.0,1,1,52,1.0,1.0,0,2,1.0,2.0,2,2.0,2.0
45_9_1,2.0,2,1,52,4.0,,0,2,2.0,2.0,2,2.0,2.0
45_10_1,4.0,1,1,46,1.0,1.0,0,2,2.0,1.0,2,2.0,1.0
46_1_1,2.0,1,1,40,1.0,1.0,0,2,2.0,1.0,2,2.0,2.0
46_2_1,4.0,1,1,58,1.0,1.0,0,2,2.0,2.0,2,2.0,2.0
46_6_1,3.0,1,1,40,1.0,1.0,0,2,3.0,1.0,2,3.0,1.0
46_9_1,1.0,1,1,53,1.0,1.0,0,2,2.0,2.0,2,3.0,2.0
47_1_1,5.0,2,1,74,4.0,,0,2,1.0,2.0,2,1.0,2.0
47_3_1,3.0,1,1,55,1.0,1.0,0,2,2.0,2.0,2,2.0,2.0
47_6_1,3.0,1,1,67,1.0,1.0,0,2,1.0,2.0,2,1.0,2.0
47_7_1,2.0,1,1,54,1.0,1.0,0,2,2.0,2.0,2,2.0,2.0
48_1_1,3.0,1,1,58,1.0,1.0,0,2,2.0,2.0,2,2.0,2.0
48_2_1,4.0,1,1,44,1.0,1.0,0,2,2.0,1.0,2,3.0,1.0
48_3_1,3.0,2,1,41,4.0,,0,2,3.0,1.0,2,3.0,2.0
48_5_1,5.0,1,1,47,1.0,1.0,0,2,2.0,2.0,2,2.0,2.0
48_6_1,3.0,1,1,57,1.0,1.0,0,2,2.0,2.0,2,2.0,2.0
48_7_1,3.0,1,1,35,1.0,1.0,0,2,3.0,1.0,2,3.0,2.0
48_9_1,4.0,1,1,46,1.0,1.0,0,2,3.0,1.0,2,3.0,2.0
49_3_1,3.0,1,1,45,1.0,1.0,0,2,2.0,1.0,2,3.0,2.0
49_6_1,3.0,1,1,54,1.0,1.0,0,2,2.0,2.0,2,3.0,2.0
49_7_1,3.0,2,1,37,2.0,2.0,0,2,3.0,1.0,2,3.0,1.0
58_6_1,3.0,1,1,60,1.0,1.0,0,2,2.0,1.0,2,2.0,2.0
58_9_1,6.0,1,1,44,1.0,1.0,0,2,2.0,2.0,2,2.0,2.0
59_1_1,6.0,1,1,52,1.0,1.0,0,2,3.0,2.0,2,2.0,1.0
61_1_2,4.0,2,2,56,1.0,2.0,0,2,1.0,1.0,2,1.0,2.0
61_2_1,6.0,1,1,70,1.0,1.0,0,2,1.0,2.0,2,1.0,2.0
61_3_2,6.0,2,2,31,1.0,1.0,0,2,4.0,1.0,2,2.0,1.0
61_4_1,5.0,1,1,61,1.0,1.0,0,2,1.0,2.0,2,1.0,2.0
61_5_1,5.0,1,1,79,1.0,1.0,0,2,1.0,2.0,2,1.0,2.0
61_6_4,6.0,2,9,27,1.0,1.0,0,2,3.0,1.0,2,1.0,1.0
61_7_2,6.0,2,2,49,1.0,2.0,0,2,1.0,1.0,2,1.0,2.0
61_8_1,6.0,1,1,53,1.0,1.0,0,2,1.0,1.0,2,1.0,2.0
62_2_2,5.0,2,2,58,1.0,1.0,0,2,1.0,1.0,2,1.0,1.0
62_3_1,7.0,1,1,49,1.0,1.0,0,2,1.0,1.0,2,1.0,2.0
62_4_2,7.0,2,2,75,1.0,1.0,0,2,1.0,2.0,2,1.0,2.0
62_6_1,4.0,1,1,41,1.0,2.0,0,2,1.0,1.0,2,1.0,1.0
62_9_2,3.0,2,2,37,1.0,1.0,0,2,1.0,1.0,2,1.0,1.0
63_1_3,6.0,2,9,24,1.0,1.0,0,2,2.0,1.0,2,3.0,1.0
63_2_2,7.0,2,2,41,1.0,1.0,0,2,2.0,1.0,2,2.0,1.0
63_3_1,7.0,1,1,53,1.0,1.0,0,2,2.0,1.0,2,2.0,2.0
63_5_2,7.0,2,2,50,1.0,1.0,0,2,2.0,1.0,2,2.0,1.0
63_6_2,7.0,2,2,77,1.0,1.0,0,2,1.0,2.0,2,1.0,2.0
63_8_1,5.0,2,1,68,4.0,,0,2,1.0,2.0,2,1.0,2.0
64_2_1,6.0,1,1,69,1.0,1.0,0,2,1.0,2.0,2,1.0,2.0
64_3_1,5.0,1,1,57,1.0,1.0,0,2,1.0,1.0,2,1.0,2.0
64_4_1,6.0,1,1,80,1.0,1.0,0,2,1.0,2.0,2,1.0,2.0
64_5_1,5.0,1,1,55,1.0,1.0,0,2,1.0,2.0,2,1.0,2.0
64_6_1,5.0,1,1,57,1.0,1.0,0,2,1.0,1.0,2,1.0,2.0
64_9_1,5.0,1,1,51,4.0,,0,2,1.0,2.0,1,,
65_4_2,6.0,2,2,58,1.0,1.0,0,2,2.0,2.0,2,1.0,2.0
65_6_1,6.0,1,1,49,1.0,1.0,0,1,,,2,1.0,2.0
65_8_1,6.0,1,1,76,1.0,1.0,0,2,1.0,2.0,2,1.0,2.0
69_2_1,2.0,1,1,31,1.0,1.0,0,2,3.0,1.0,2,2.0,1.0
71_1_1,2.0,1,1,73,1.0,1.0,0,2,1.0,2.0,2,1.0,2.0
71_2_1,1.0,1,1,33,1.0,1.0,8,2,2.0,1.0,2,2.0,1.0
