uid,HH_Hhid,HH_Q02,HH_Q03,HH_Q04,HH_Q05y,HH_Q05m,HH_Q06,HH_Q07,HH_Q08,HH_Q09,HH_Q10,HH_Q11,HH_Q12,HH_Q13,HH_Q14,HH_Q15,HH_Q16,HH_Q17,HH_Q18,HH_Q19,HH_Q20,HH_Q21,HH_Q22,poverty_score
1_2_1,102,1,1,19600711,52,1,1.0,1.0,2.0,0,1,2,,3.0,2.0,80.0,,2,,3.0,2.0,80.0,,2.0
1_3_1,103,1,1,19540203,58,7,1.0,1.0,2.0,0,1,2,,2.0,2.0,85.0,,2,,2.0,2.0,67.0,,4.0
1_5_1,105,1,1,19580322,54,5,1.0,1.0,2.0,0,1,2,,5.0,2.0,88.0,,2,,3.0,2.0,88.0,,6.0
1_11_1,111,1,1,19680126,44,7,1.0,1.0,2.0,0,1,2,,5.0,1.0,,68.0,2,,5.0,1.0,,73.0,6.0
1_12_1,112,2,1,19580511,54,3,4.0,,,0,1,2,,10.0,2.0,81.0,,2,,10.0,2.0,84.0,,4.0
2_2_1,202,1,1,19680607,44,3,1.0,1.0,2.0,0,1,2,,2.0,1.0,,70.0,2,,10.0,1.0,,75.0,2.0
2_4_1,204,1,1,19760313,36,6,1.0,1.0,2.0,0,1,2,,3.0,1.0,,57.0,2,,3.0,1.0,,61.0,7.0
2_5_1,205,1,1,19580513,54,4,1.0,1.0,2.0,0,1,2,,3.0,2.0,55.0,,2,,2.0,2.0,78.0,,2.0
2_6_1,206,1,1,19410512,71,4,1.0,1.0,2.0,0,1,2,,10.0,2.0,75.0,,2,,10.0,2.0,68.0,,4.0
2_7_1,207,1,1,19460316,66,6,1.0,1.0,2.0,0,1,2,,1.0,2.0,76.0,,2,,2.0,2.0,69.0,,4.0
2_8_1,208,1,1,19670815,45,1,1.0,1.0,2.0,0,1,2,,10.0,1.0,,68.0,2,,10.0,1.0,,74.0,7.0
2_9_1,209,1,1,19570105,55,8,1.0,1.0,2.0,0,1,2,,2.0,2.0,68.0,,2,,2.0,2.0,70.0,,2.0
3_3_1,303,1,1,19661207,45,9,5.0,,,0,1,1,2.0,,,,,2,,10.0,2.0,65.0,,4.0
3_4_1,304,2,1,19440223,68,6,4.0,,,0,1,2,,2.0,2.0,80.0,,2,,2.0,2.0,78.0,,6.0
3_5_1,305,1,1,19571107,54,10,1.0,1.0,2.0,0,1,2,,2.0,2.0,82.0,,2,,6.0,2.0,63.0,,4.0
3_7_2,307,2,1,19791201,32,9,1.0,1.0,1.0,0,1,2,,4.0,2.0,53.0,,2,,4.0,2.0,57.0,,5.0
3_8_1,308,1,1,19610521,51,3,1.0,1.0,2.0,0,1,2,,1.0,1.0,,80.0,2,,3.0,2.0,85.0,,5.0
3_9_1,309,1,1,19420407,70,5,1.0,1.0,2.0,0,1,2,,2.0,2.0,50.0,,2,,2.0,2.0,73.0,,3.0
3_10_1,310,1,1,19440111,68,7,1.0,1.0,2.0,0,1,2,,1.0,2.0,86.0,,2,,1.0,2.0,64.0,,5.0
4_1_1,401,1,1,19580227,54,6,1.0,1.0,2.0,0,1,2,,10.0,2.0,80.0,,2,,10.0,2.0,70.0,,5.0
4_2_1,402,2,1,19790226,33,6,2.0,2.0,,0,1,2,,3.0,1.0,,55.0,2,,6.0,1.0,,57.0,4.0
4_4_1,404,2,1,19511024,60,10,4.0,,,0,1,2,,5.0,2.0,75.0,,2,,5.0,1.0,,85.0,8.0
4_6_1,406,2,1,19220503,90,4,4.0,,,0,1,2,,10.0,2.0,84.0,,2,,10.0,2.0,60.0,,3.0
4_7_1,407,1,1,19370101,75,8,1.0,1.0,2.0,0,1,2,,2.0,2.0,92.0,,2,,2.0,2.0,90.0,,6.0
4_8_1,408,2,1,19511201,60,9,4.0,,,0,1,2,,3.0,2.0,85.0,,2,,3.0,2.0,85.0,,3.0
4_9_1,409,2,1,19330804,79,1,4.0,,,0,1,2,,10.0,2.0,75.0,,2,,10.0,2.0,70.0,,4.0
4_10_1,410,1,1,19490224,63,6,1.0,1.0,2.0,0,1,2,,9.0,2.0,62.0,,2,,10.0,2.0,70.0,,7.0
5_1_1,501,1,1,19360826,76,0,1.0,1.0,2.0,0,1,2,,2.0,2.0,75.0,,2,,2.0,2.0,70.0,,5.0
5_3_1,503,2,1,19300316,82,6,4.0,,,0,1,2,,10.0,2.0,75.0,,2,,10.0,2.0,65.0,,3.0
5_5_1,505,1,1,19480802,64,1,1.0,1.0,2.0,0,1,2,,1.0,2.0,85.0,,2,,1.0,2.0,60.0,,4.0
5_6_1,506,1,1,19590215,53,7,1.0,1.0,2.0,0,1,2,,10.0,1.0,,65.0,2,,10.0,2.0,75.0,,8.0
5_7_1,507,1,1,19600124,52,8,1.0,1.0,2.0,0,1,2,,10.0,2.0,68.0,,2,,10.0,2.0,70.0,,4.0
5_8_1,508,1,1,19570302,55,6,5.0,,,0,1,2,,10.0,2.0,78.0,,2,,2.0,2.0,73.0,,2.0
5_9_1,509,2,1,19511121,60,10,4.0,,,0,1,2,,10.0,2.0,63.0,,2,,10.0,2.0,72.0,,4.0
6_2_1,602,1,1,19480410,64,4,1.0,1.0,2.0,0,1,2,,1.0,2.0,80.0,,2,,1.0,2.0,80.0,,6.0
6_3_2,603,2,2,19580512,54,3,1.0,1.0,1.0,0,1,2,,1.0,1.0,,72.0,2,,1.0,2.0,70.0,,5.0
6_4_1,604,1,1,19760901,36,0,1.0,1.0,2.0,0,1,2,,2.0,1.0,,65.0,2,,7.0,1.0,,73.0,8.0
6_5_1,605,1,1,19671020,44,10,1.0,1.0,2.0,0,1,2,,1.0,2.0,67.0,,2,,1.0,1.0,,83.0,4.0
6_7_1,607,2,1,19320627,80,2,4.0,,,0,1,2,,1.0,2.0,85.0,,2,,1.0,2.0,88.0,,4.0
6_8_1,608,1,1,19350214,77,6,1.0,1.0,2.0,0,1,2,,1.0,2.0,90.0,,2,,1.0,2.0,49.0,,3.0
6_9_1,609,2,1,19410715,71,1,4.0,,,0,1,2,,1.0,2.0,68.0,,2,,1.0,2.0,90.0,,5.0
6_10_2,610,2,2,19750925,36,11,1.0,1.0,1.0,0,1,2,,5.0,1.0,,56.0,2,,5.0,1.0,,61.0,6.0
7_2_1,702,1,1,19750910,36,11,1.0,1.0,2.0,0,1,2,,5.0,1.0,,60.0,2,,3.0,1.0,,66.0,4.0
7_3_1,703,1,1,19570204,55,6,1.0,1.0,2.0,0,1,2,,3.0,2.0,75.0,,2,,9.0,2.0,77.0,,6.0
7_4_1,704,1,1,19691010,42,11,1.0,1.0,2.0,0,1,2,,2.0,2.0,72.0,,2,,5.0,1.0,,75.0,4.0
7_5_1,705,1,1,19731011,38,10,1.0,1.0,2.0,0,1,2,,4.0,1.0,,60.0,2,,5.0,1.0,,63.0,3.0
7_6_1,706,2,1,19360807,76,1,4.0,,,0,1,2,,1.0,2.0,77.0,,2,,1.0,2.0,66.0,,4.0
7_7_1,707,1,1,19631102,48,10,1.0,1.0,2.0,0,1,2,,1.0,1.0,,80.0,2,,1.0,2.0,70.0,,4.0
8_1_2,801,2,2,19670306,45,6,1.0,1.0,1.0,0,1,2,,1.0,2.0,48.0,,2,,1.0,2.0,54.0,,4.0
8_2_2,802,2,2,19720527,40,3,1.0,1.0,1.0,0,1,2,,5.0,1.0,,65.0,2,,5.0,2.0,50.0,,5.0
8_3_1,803,2,1,19601015,51,11,4.0,,,0,1,2,,1.0,2.0,74.0,,2,,1.0,2.0,70.0,,4.0
8_5_2,805,2,2,19710419,41,4,1.0,1.0,1.0,0,1,2,,3.0,1.0,,70.0,2,,7.0,1.0,,72.0,6.0
8_6_1,806,1,1,19460307,66,6,1.0,1.0,2.0,0,1,2,,3.0,2.0,94.0,,2,,1.0,2.0,96.0,,4.0
8_7_1,807,1,1,19420406,70,5,1.0,1.0,2.0,0,1,2,,1.0,2.0,87.0,,2,,1.0,2.0,75.0,,4.0
8_8_1,808,1,1,19550906,57,0,1.0,1.0,2.0,0,1,2,,1.0,2.0,83.0,,2,,1.0,2.0,53.0,,4.0
8_9_1,809,1,1,19670807,45,1,1.0,1.0,2.0,0,1,2,,2.0,1.0,,72.0,2,,2.0,1.0,,82.0,3.0
9_2_2,902,2,2,19670315,45,5,1.0,1.0,1.0,0,1,2,,2.0,1.0,,65.0,2,,2.0,1.0,,70.0,5.0
9_4_1,904,1,1,19450213,67,7,1.0,1.0,2.0,0,1,2,,1.0,2.0,60.0,,2,,1.0,2.0,73.0,,5.0
9_5_1,905,1,1,19681216,43,9,2.0,2.0,,6,1,2,,1.0,2.0,55.0,,2,,2.0,2.0,64.0,,4.0
9_6_2,906,1,4,19800731,32,1,1.0,1.0,3.0,0,1,2,,2.0,2.0,57.0,,1,1.0,,,,,3.0
9_7_1,907,1,1,19581018,53,11,1.0,1.0,2.0,0,1,1,4.0,,,,,1,3.0,,,,,4.0
9_8_3,908,1,4,19780212,34,7,1.0,1.0,4.0,7,1,1,2.0,,,,,1,1.0,,,,,3.0
10_1_1,1001,1,1,19560307,56,6,2.0,2.0,,0,1,2,,1.0,1.0,,80.0,2,,1.0,1.0,,83.0,6.0
10_2_1,1002,1,1,19630803,49,1,1.0,2.0,,1,1,2,,1.0,2.0,72.0,,2,,1.0,2.0,78.0,,3.0
10_3_1,1003,1,1,19350605,77,3,4.0,,,0,1,2,,1.0,2.0,80.0,,2,,1.0,2.0,75.0,,4.0
10_4_1,1004,1,1,19490304,63,6,4.0,,,0,1,2,,1.0,2.0,30.0,,2,,1.0,2.0,50.0,,4.0
10_5_1,1005,1,1,19571130,54,9,1.0,1.0,2.0,0,1,2,,1.0,2.0,75.0,,2,,1.0,2.0,90.0,,4.0
10_7_2,1007,2,2,19661030,45,10,1.0,1.0,1.0,0,1,2,,1.0,2.0,70.0,,2,,3.0,1.0,,74.0,3.0
10_8_1,1008,1,1,19581111,53,10,1.0,1.0,2.0,0,1,2,,1.0,2.0,86.0,,2,,1.0,2.0,56.0,,4.0
11_1_2,1101,2,2,19661121,45,9,1.0,1.0,1.0,0,1,2,,3.0,1.0,,80.0,2,,7.0,2.0,70.0,,5.0
11_2_2,1102,2,2,19490201,63,7,1.0,1.0,1.0,0,1,2,,2.0,2.0,83.0,,2,,1.0,2.0,73.0,,4.0
11_3_2,1103,2,2,19530220,59,6,1.0,1.0,1.0,0,1,2,,1.0,2.0,70.0,,2,,1.0,2.0,73.0,,4.0
11_4_1,1104,1,1,19470401,65,5,1.0,1.0,2.0,11,1,2,,1.0,2.0,86.0,,2,,1.0,2.0,67.0,,4.0
11_5_1,1105,1,1,19660627,46,2,1.0,1.0,2.0,0,1,2,,5.0,1.0,,70.0,2,,4.0,1.0,,75.0,5.0
